"order_id","user_id","order_number","order_dow","order_hour_of_day","days_since_prior_order"
2887138,132,25,0,"12",5
3001617,135,5,0,"17",17
455775,138,33,6,"12",1
2233425,139,5,2,"11",30
2560500,140,77,4,"21",2
2696946,142,46,6,"17",2
1993128,143,15,6,"11",8
242208,144,8,2,"12",12
3395341,145,9,2,"17",30
673776,146,41,2,"19",25
318441,147,14,0,"11",30
3348216,148,8,5,"23",27
1575396,150,32,6,"14",20
1897207,155,23,1,"00",9
3294802,157,5,0,"14",4
2133144,160,13,0,"17",13
3123006,161,21,0,"15",20
2564128,163,12,1,"23",11
2608262,164,11,4,"09",19
2742787,167,6,0,"11",7
767489,169,7,2,"12",30
1500681,171,7,0,"15",8
2060922,173,45,2,"09",15
537105,174,28,6,"11",9
1505214,175,24,3,"09",7
2433199,176,7,6,"16",19
3412247,178,6,2,"09",7
1464402,179,6,1,"20",15
1007973,183,5,6,"14",19
3362166,184,12,6,"12",30
2887658,185,7,2,"11",30
475324,187,33,5,"15",3
2715293,189,12,4,"18",2
1308123,191,5,1,"15",5
3155162,192,6,1,"12",30
1962299,193,6,4,"10",14
1458129,195,59,4,"11",6
739987,197,21,6,"16",2
3048264,198,6,2,"13",8
2066158,199,4,6,"10",30
2780124,201,8,6,"12",23
2897229,203,4,0,"15",30
1447810,204,59,6,"13",17
2177938,205,13,2,"18",30
307237,206,29,4,"10",13
1706500,208,19,6,"18",18
1826981,209,20,1,"13",27
3176785,210,100,1,"12",5
2708761,211,5,0,"13",8
3084045,212,13,0,"00",2
2477435,213,6,1,"15",30
3053806,214,28,6,"21",30
75622,215,6,4,"08",29
1131395,217,12,6,"12",30
1841249,218,7,3,"13",7
1902701,219,34,6,"15",14
1848434,220,17,3,"04",30
1789152,222,71,5,"10",3
180627,223,50,1,"08",7
2041929,224,4,2,"10",13
2615515,226,22,4,"21",30
568023,229,18,5,"22",4
382581,230,11,5,"07",30
2499603,231,4,6,"02",16
1179928,235,22,5,"13",5
1016866,238,7,4,"16",14
2941534,239,6,0,"02",6
688931,240,6,3,"09",20
2193979,242,17,6,"14",7
2698993,243,28,0,"10",20
2624849,245,6,1,"22",20
142062,249,10,4,"22",3
524863,250,12,6,"14",20
2298194,252,5,6,"11",30
2727415,253,4,5,"12",3
2008056,255,5,0,"23",29
961500,256,19,0,"11",28
1056167,258,25,6,"12",26
1976038,259,4,6,"11",30
3227316,260,18,4,"11",30
1162736,261,9,3,"17",4
1905437,262,46,0,"22",3
2383385,264,30,3,"09",8
1665716,267,10,6,"11",30
676206,270,23,6,"18",30
985905,271,16,2,"13",3
2662084,272,10,4,"13",16
2014989,273,20,0,"20",13
3411419,278,69,2,"13",2
3059590,280,42,1,"06",8
445784,282,4,5,"18",2
145016,283,6,1,"12",3
3261724,284,17,2,"11",13
78426,285,5,5,"08",14
3529,286,4,4,"09",19
1184332,288,4,6,"14",20
1473392,289,50,4,"14",14
1374681,291,5,2,"12",17
2692535,293,9,1,"16",30
1911431,294,16,0,"12",30
405264,295,24,2,"14",8
208213,296,7,3,"12",4
1979266,298,4,3,"14",16
1546561,300,39,4,"18",5
540284,304,43,5,"19",6
1940141,305,5,1,"15",30
1957838,306,25,1,"08",14
2600069,309,26,4,"13",1
988,310,100,2,"09",4
2956359,313,100,1,"06",4
877974,314,6,4,"11",30
3072356,315,5,3,"23",24
1640076,317,5,0,"17",6
1054904,319,9,0,"18",2
1684761,322,15,0,"17",21
3012300,323,72,1,"12",4
1215744,324,12,6,"12",30
39637,325,8,6,"13",6
2560537,326,6,3,"15",27
1331374,327,64,1,"15",3
3174585,328,13,2,"11",27
1606411,329,9,0,"19",14
2147369,330,8,3,"17",6
1751465,334,64,1,"20",2
3077453,337,13,1,"17",30
1430705,340,6,6,"10",14
281630,341,12,1,"11",30
107908,342,17,4,"07",30
1841063,343,5,5,"15",10
1652713,345,4,2,"09",19
980530,346,7,6,"20",30
563865,348,29,3,"03",7
959285,349,8,1,"08",5
1989223,350,15,0,"12",7
2898937,351,15,0,"20",9
2143540,353,12,6,"13",30
3081810,355,14,6,"16",30
2376514,357,9,5,"09",10
394279,358,8,1,"17",30
2908855,359,16,1,"15",6
15694,361,7,3,"15",2
607923,363,13,1,"13",10
2942881,365,16,0,"12",7
461187,370,28,5,"17",30
174574,371,4,1,"15",20
1682739,372,13,6,"22",30
1412429,374,17,1,"14",14
811612,375,8,1,"13",30
960774,376,9,6,"12",30
1558843,377,4,3,"18",30
2721521,378,9,2,"17",27
2294073,379,20,2,"16",30
2385890,380,13,6,"14",3
14172,382,30,4,"17",10
3206948,383,10,5,"11",30
2057992,384,10,4,"13",16
280751,385,5,0,"11",30
1910258,387,9,4,"10",30
2294856,390,23,6,"17",20
2328904,391,24,1,"16",29
36665,393,11,4,"13",27
3163411,395,4,3,"18",30
445900,396,19,1,"06",30
2950974,399,4,1,"15",18
2534943,401,5,5,"10",5
3014378,402,5,0,"12",4
3159731,403,33,1,"13",8
592291,404,7,2,"14",24
1732187,406,5,2,"13",5
1392440,409,87,1,"09",7
2050098,411,12,1,"18",30
1048290,412,5,4,"17",20
1363964,414,4,4,"16",20
2070379,416,4,1,"07",30
1560176,417,10,3,"15",14
1449813,419,25,1,"12",21
437145,421,4,1,"12",30
1902284,425,8,5,"09",21
1643238,426,14,2,"12",30
1899614,429,30,4,"14",16
2608193,430,9,6,"14",6
539212,431,10,5,"10",7
488785,432,53,0,"19",7
3194530,433,6,3,"18",22
484245,434,5,0,"14",8
1101383,435,14,0,"15",14
2236871,437,20,3,"13",14
2029736,438,12,5,"14",10
1454689,441,15,3,"22",25
2623337,442,13,3,"11",9
113754,444,43,5,"10",7
1848722,446,9,6,"16",30
1110720,448,34,6,"22",6
3244965,449,22,4,"18",1
1439514,452,25,0,"20",19
1881413,453,14,1,"09",21
2769206,454,55,3,"14",7
2908601,456,7,5,"10",30
2212127,457,5,0,"16",7
683205,459,24,6,"12",8
362051,465,41,5,"07",7
3293782,466,32,5,"16",14
2046585,468,7,1,"10",23
2455208,469,9,2,"13",30
2000464,470,17,4,"15",6
417305,471,7,5,"15",10
2010297,472,5,2,"09",30
1739738,473,12,0,"12",18
1714467,475,29,4,"09",11
461914,476,17,4,"10",7
3054083,477,5,2,"18",17
638714,478,9,5,"17",30
1944317,479,24,4,"20",8
1039817,480,13,5,"13",4
1528819,481,36,0,"16",12
659655,483,10,3,"11",30
1439424,484,11,4,"16",0
3101204,486,13,0,"15",30
1290287,487,34,6,"21",9
2479559,488,7,0,"21",30
29983,489,8,1,"00",30
149666,490,4,3,"13",30
1191993,491,4,3,"16",30
1108486,493,8,1,"10",4
3126335,494,4,0,"10",30
1614375,495,25,0,"12",12
863691,497,10,3,"15",30
188500,499,7,4,"16",6
3395420,501,7,1,"18",30
709201,502,8,0,"20",30
54762,504,5,4,"12",30
395479,506,5,4,"22",26
2692766,509,12,2,"12",4
797018,511,6,6,"18",30
707985,512,5,2,"09",30
2298416,513,4,3,"11",30
1011563,514,6,1,"09",17
3241378,515,20,0,"13",1
2831272,517,5,6,"12",14
672357,518,6,5,"09",30
1949670,519,11,3,"17",12
2101076,520,30,0,"08",7
1302095,521,7,4,"12",30
2542317,523,13,4,"10",30
2588977,524,6,3,"17",30
2346527,525,37,0,"14",11
2569637,526,5,1,"13",14
497783,527,4,1,"11",30
229361,528,35,0,"11",6
2337367,530,4,0,"16",5
3363870,531,30,3,"08",15
1409734,532,5,1,"10",22
17906,533,5,2,"14",30
1379536,534,8,0,"10",0
3276697,536,4,0,"15",16
3004135,538,27,2,"22",12
2724968,540,6,1,"13",30
1043105,541,6,0,"13",30
1726118,542,4,0,"16",5
2063685,544,5,4,"16",1
1229133,545,5,4,"18",5
1340939,546,7,3,"12",22
1074772,547,11,0,"18",1
1291650,549,11,3,"17",21
1608919,550,5,3,"13",8
1820107,552,13,5,"07",11
1445911,554,7,0,"12",21
2405239,555,12,2,"08",30
451330,558,28,5,"12",1
1527883,559,23,6,"12",13
2019153,560,35,1,"10",7
3235100,561,5,6,"08",30
3125190,562,52,4,"11",2
3065466,563,6,2,"10",8
2101825,565,6,1,"16",29
3357236,566,14,2,"20",30
241538,567,22,0,"20",11
2178585,568,11,1,"16",8
3158741,569,4,3,"08",30
2379791,570,7,0,"17",22
271797,571,7,0,"16",10
1609767,572,4,3,"16",1
1144354,573,16,1,"10",30
1232929,575,5,4,"21",20
1241717,577,6,2,"08",4
2127621,580,22,6,"17",10
1044486,582,22,6,"14",25
2576004,584,9,3,"09",2
2244404,585,12,4,"14",10
29486,586,5,5,"18",26
3054234,587,13,6,"08",13
2150770,591,8,4,"09",6
530341,592,5,4,"09",30
2918511,593,18,6,"20",4
2713339,594,6,3,"13",30
3263278,595,8,3,"18",30
1816326,597,8,4,"12",15
1859940,599,33,4,"17",1
102931,600,8,1,"16",8
2372949,602,8,2,"17",14
1220744,603,6,2,"14",14
205105,604,28,0,"12",29
3733,605,6,1,"17",30
2857725,606,31,0,"22",14
339577,607,11,1,"17",7
531078,608,14,4,"21",10
1882095,609,19,0,"10",12
3293848,611,17,5,"23",14
2830734,612,40,5,"10",6
2558969,614,4,1,"14",20
437954,616,29,0,"10",8
192822,617,11,1,"20",7
2413078,619,5,3,"11",30
416736,620,6,4,"18",30
2725594,623,12,5,"11",30
821898,625,4,2,"14",30
1017699,626,95,2,"10",5
1933130,628,4,0,"19",30
415087,632,6,3,"20",30
3298943,634,12,0,"22",8
1866656,636,22,2,"14",28
1974079,637,18,3,"14",9
151039,638,21,0,"12",11
2125060,639,4,1,"18",14
2081127,641,30,0,"16",5
2342041,644,4,1,"15",7
428232,646,57,5,"10",4
1224638,647,10,5,"21",24
1549043,648,5,1,"08",30
78051,649,46,6,"20",13
2316417,650,10,6,"09",7
1408873,655,79,0,"09",2
2901230,657,31,6,"19",7
812040,667,76,0,"13",6
1035261,669,29,6,"07",30
3267146,670,6,6,"11",30
219986,671,9,0,"16",30
1600279,672,19,1,"18",30
2376860,674,5,1,"12",4
632715,676,12,0,"13",26
1735653,677,6,5,"10",23
1405257,680,7,1,"19",1
783434,682,20,3,"08",17
1696391,684,27,1,"09",7
143284,685,5,4,"09",16
2810951,687,20,6,"14",4
1204921,689,4,3,"15",30
3327840,690,100,4,"11",2
1379024,691,23,6,"23",16
1842223,692,12,6,"18",23
2524486,694,9,6,"22",21
1063245,695,4,5,"16",6
2643096,696,39,2,"10",30
2451495,697,6,0,"11",26
2154325,699,37,0,"10",9
3002915,700,9,6,"10",3
261370,703,10,1,"12",7
2127707,704,7,6,"19",20
959637,705,7,5,"20",8
1191841,707,13,5,"10",30
1202012,708,15,2,"11",30
1307498,709,6,0,"22",6
1054283,710,17,0,"09",14
2357159,711,6,6,"10",10
219467,712,5,6,"17",30
398828,713,16,2,"19",13
1985172,714,16,6,"11",18
1122780,715,14,5,"12",10
67479,716,5,3,"21",8
944659,717,8,1,"18",8
921692,718,4,1,"07",30
3107150,719,73,6,"19",2
2059831,722,9,6,"16",30
1368829,723,14,2,"16",12
3096583,724,4,2,"16",30
251996,725,10,5,"11",20
3264066,726,8,5,"16",7
1504712,727,22,3,"17",9
2793933,728,19,1,"09",16
1738759,729,60,1,"10",7
1550154,731,10,0,"09",12
1387253,733,5,1,"16",30
1378817,735,10,6,"14",4
1166135,736,4,3,"17",30
275130,737,16,0,"12",14
1436723,741,30,1,"21",8
223389,742,14,2,"19",3
60905,743,6,2,"17",26
1403740,746,9,2,"19",30
553676,748,4,2,"19",17
2726080,749,10,4,"16",4
3205651,750,4,0,"17",6
63770,751,7,2,"06",30
565931,753,4,6,"13",30
3197269,754,14,0,"12",30
2919312,755,13,5,"14",4
64766,756,22,1,"11",10
14287,757,6,0,"16",30
2877517,759,4,5,"15",30
1167274,760,5,4,"10",8
440384,761,9,6,"09",30
2914876,765,6,2,"17",8
1556053,767,32,4,"16",9
2667408,768,34,0,"14",13
2112754,769,13,1,"16",15
2871469,770,5,1,"16",7
49291,774,11,3,"08",23
3116656,775,9,0,"06",30
2248477,776,4,5,"15",30
2110387,777,27,1,"12",7
2354554,779,7,0,"08",19
1971243,781,8,3,"11",7
888267,782,5,0,"11",30
980285,783,4,0,"16",30
2208324,784,8,6,"10",9
90628,786,100,0,"10",2
3070078,788,4,0,"10",30
303762,789,12,1,"08",21
1515554,790,5,6,"21",27
2227916,792,9,1,"16",9
2038177,795,13,0,"13",21
556139,796,8,5,"18",23
670090,797,19,0,"13",30
2513420,799,16,3,"18",12
2558109,800,22,6,"17",8
1553088,801,6,5,"11",4
1181590,803,8,0,"12",5
3347074,804,16,3,"21",5
1089130,805,5,1,"15",30
3056331,808,4,0,"15",30
1941111,809,22,6,"18",11
975061,814,4,3,"15",12
2445,816,5,0,"16",30
1786829,818,70,3,"08",15
2626310,820,5,2,"10",26
917873,821,4,0,"13",7
3067908,822,4,2,"16",30
2331570,824,22,5,"09",7
2943041,829,4,2,"14",1
985778,831,20,5,"13",30
683623,833,12,2,"11",22
2934974,835,5,4,"11",30
2054288,836,14,1,"19",30
874570,838,24,2,"15",7
1504504,839,27,1,"13",30
2391548,840,10,5,"21",15
2932543,841,16,0,"11",14
2802645,844,19,1,"09",22
1537934,845,23,6,"12",6
129013,846,5,4,"09",17
2436377,847,38,1,"17",8
1241668,848,44,0,"17",8
1114234,849,30,0,"13",1
92317,852,38,0,"19",13
3415312,854,84,0,"14",3
265281,855,16,2,"12",11
2322058,856,5,5,"10",30
83856,857,47,0,"06",7
1652829,859,8,5,"11",5
2232869,863,11,1,"15",30
20460,864,30,4,"12",9
692135,865,4,5,"11",30
592557,866,23,0,"16",15
2648197,867,6,4,"19",30
1963578,868,86,5,"13",6
3373111,871,8,0,"20",30
1526056,872,5,3,"12",30
2144171,873,9,6,"11",6
1088647,874,14,0,"16",7
1534424,875,5,1,"13",12
2376580,879,57,0,"10",4
718132,880,50,4,"11",30
2716795,881,18,1,"14",18
26968,882,5,4,"13",3
1604634,883,13,2,"14",9
1666193,884,4,2,"12",30
1305670,885,22,3,"20",12
556180,886,23,1,"19",12
2689040,887,9,2,"07",30
509989,888,16,3,"13",3
2689584,889,6,2,"15",30
3353496,890,21,5,"11",14
846979,891,16,6,"18",30
3271309,892,13,4,"14",12
1393688,895,6,1,"11",20
3036648,897,5,6,"13",30
631808,898,53,1,"08",8
1880459,899,11,2,"21",3
1196150,900,8,3,"09",14
1750098,901,5,3,"17",30
1729675,905,5,2,"05",4
968909,906,5,0,"11",14
979263,907,24,0,"08",7
374322,909,4,1,"10",19
2742119,913,28,3,"08",20
309741,915,10,4,"15",19
1806432,916,7,0,"13",30
3330301,917,26,4,"08",10
2444452,919,11,0,"11",30
1498776,920,5,2,"12",30
757211,921,13,5,"10",15
1148045,922,4,5,"19",19
15213,923,13,6,"16",30
2435106,925,4,1,"22",12
1058952,928,9,0,"16",30
914910,929,4,5,"17",7
700471,930,5,1,"18",30
1261929,932,32,6,"17",4
178268,933,33,0,"17",7
1988586,934,6,2,"13",30
1832849,935,19,2,"16",19
3202163,936,7,6,"12",28
2107544,937,11,0,"19",30
1148938,938,15,5,"20",11
3108576,939,7,0,"15",30
2180302,940,8,4,"11",15
2314737,941,10,6,"08",4
1876414,943,4,5,"14",22
127522,944,4,4,"14",13
1739018,946,19,4,"09",29
3277128,947,40,0,"10",30
951151,948,10,0,"14",30
2136949,949,9,6,"13",9
3339284,950,16,1,"13",30
809820,951,4,2,"18",30
1182819,952,4,6,"13",30
3419642,953,10,1,"11",30
1100805,954,12,3,"13",4
967656,956,12,0,"15",7
2638832,957,33,1,"16",4
3138460,958,38,0,"13",7
1888855,962,28,4,"16",3
244128,967,5,6,"10",30
1288850,968,59,2,"12",7
1080892,970,7,2,"10",20
2109659,971,25,1,"13",25
2073686,973,26,0,"11",8
3202493,974,7,6,"10",30
1441412,976,5,5,"15",0
1826689,977,14,0,"08",5
2188922,979,15,3,"17",17
2555679,981,7,3,"18",6
1759116,982,14,0,"10",11
547273,983,7,4,"12",6
96292,984,51,3,"20",2
3215722,985,10,2,"11",30
2753827,986,21,6,"11",11
411854,987,8,1,"01",30
395208,989,4,3,"11",5
122224,990,10,0,"18",8
910179,991,6,1,"15",13
3289231,992,22,5,"14",30
637980,994,11,1,"12",13
1982039,996,5,3,"09",30
903956,1000,8,0,"13",21
1056108,1002,19,5,"10",29
1392921,1003,9,1,"23",7
252897,1006,5,0,"14",17
355501,1007,9,3,"11",19
2055364,1008,7,0,"15",4
3382300,1011,8,2,"14",22
1940438,1012,9,6,"08",6
1389513,1013,20,6,"05",29
1585569,1014,7,0,"15",30
1504831,1015,12,6,"09",6
2987108,1016,6,2,"17",28
2613422,1017,6,6,"06",30
1985010,1019,10,3,"17",28
1226914,1021,33,1,"11",8
2614856,1022,79,3,"15",3
221711,1024,100,2,"10",1
1572263,1025,8,0,"15",30
827834,1026,6,6,"12",30
2143665,1027,48,0,"14",7
668770,1029,27,4,"16",1
2643636,1030,4,6,"09",30
1868918,1031,10,1,"10",25
838618,1032,4,4,"14",30
1639708,1033,5,0,"14",6
1129605,1034,7,1,"15",22
3147418,1035,28,4,"15",17
2042218,1036,32,0,"21",10
406446,1038,15,0,"22",15
11052,1039,7,0,"19",30
2573243,1040,9,4,"15",5
1453822,1041,16,2,"20",15
2020589,1042,8,2,"15",30
1727267,1044,27,5,"13",8
1323382,1046,4,0,"16",30
2216237,1048,4,1,"12",25
1646879,1050,27,2,"15",30
443227,1052,21,1,"18",8
2446265,1053,5,1,"10",30
3161232,1054,6,5,"16",13
2330932,1055,16,1,"17",7
2799858,1056,17,3,"11",22
1860271,1058,44,0,"12",8
2406692,1059,36,1,"16",7
3161966,1060,11,2,"09",6
2071098,1061,4,3,"16",30
295980,1063,4,0,"16",30
1758679,1065,6,2,"11",10
1510345,1066,55,4,"09",9
300459,1067,19,2,"15",7
1430544,1068,4,1,"12",30
2109825,1069,7,0,"16",30
1920482,1070,5,1,"09",30
276012,1071,9,4,"21",14
1438109,1072,16,1,"11",7
1268099,1073,6,6,"13",6
3039780,1077,13,0,"10",18
393494,1078,9,0,"12",5
595633,1079,9,0,"12",30
2717227,1080,13,3,"22",5
1922310,1081,8,5,"11",30
2407138,1084,34,6,"08",10
2341197,1085,4,3,"17",30
604625,1086,6,1,"10",3
1542868,1088,16,3,"07",2
1111743,1089,16,0,"18",14
526858,1090,5,1,"16",2
51155,1091,6,3,"10",30
1594212,1093,9,0,"19",7
1598697,1094,6,2,"10",14
327915,1095,32,3,"18",3
2065685,1099,9,0,"14",13
387140,1101,24,5,"00",8
3135267,1102,10,1,"16",30
2597353,1104,8,2,"17",30
364097,1105,8,4,"13",14
1461756,1106,9,3,"11",30
437041,1107,33,5,"16",11
1237525,1110,5,0,"11",30
356584,1112,12,0,"12",30
2999631,1113,5,1,"21",30
1527770,1114,4,0,"11",30
1081030,1118,10,5,"11",25
1650233,1120,75,6,"19",7
3409264,1122,21,4,"08",7
564594,1123,8,6,"09",8
2034086,1128,9,2,"14",30
1663465,1129,4,5,"08",4
2916351,1130,50,1,"09",6
1678834,1131,8,1,"15",18
659066,1132,13,2,"09",5
1058980,1133,7,5,"09",5
3367947,1134,11,4,"21",3
2560858,1136,26,3,"18",4
541039,1139,30,0,"11",12
249702,1140,12,3,"10",21
1186686,1141,31,2,"12",5
1263386,1142,39,3,"17",9
599773,1143,4,6,"18",14
304668,1144,4,0,"22",30
3392152,1145,4,3,"13",6
2237430,1146,4,0,"14",30
1725556,1147,16,5,"15",25
1476764,1150,48,2,"11",5
153579,1151,6,0,"14",30
401928,1155,19,0,"10",6
1489846,1157,16,0,"17",13
796337,1158,10,0,"15",10
1570737,1162,23,2,"10",30
169422,1164,79,3,"23",2
536324,1165,24,5,"12",7
1787902,1166,10,3,"06",4
3251213,1167,6,6,"14",8
530588,1168,4,1,"12",30
2479253,1169,14,3,"17",13
2085716,1170,17,1,"15",13
1123114,1172,4,0,"17",15
5743,1173,56,6,"16",8
2961500,1176,12,1,"16",7
1843281,1180,12,0,"11",30
998784,1181,11,1,"13",4
1289473,1184,9,5,"22",6
1463798,1185,11,4,"10",6
472417,1186,18,5,"13",14
723753,1187,4,0,"12",6
580476,1188,11,6,"17",20
2597017,1189,8,4,"15",8
3025307,1190,4,0,"23",26
1775170,1192,4,4,"11",30
3130381,1193,4,6,"17",13
856361,1195,5,6,"12",30
1345715,1197,78,0,"10",3
2085640,1199,44,5,"12",10
1488101,1200,5,1,"11",30
3335299,1202,62,5,"13",7
1410397,1204,11,1,"13",22
74399,1205,7,4,"15",30
676514,1206,19,4,"12",2
2140818,1207,6,6,"19",30
2879697,1208,6,0,"09",30
1503135,1209,9,6,"19",18
2584515,1210,18,6,"10",25
3250346,1213,43,2,"14",5
1997605,1214,8,0,"18",29
2652449,1215,15,4,"16",11
2644015,1216,29,5,"06",13
3094816,1218,4,6,"14",5
164257,1219,25,4,"12",3
1819621,1220,16,3,"17",18
2561233,1221,27,0,"10",7
2375630,1222,5,6,"11",30
589930,1224,13,4,"11",30
1896032,1226,6,3,"08",4
729073,1227,5,2,"17",30
692507,1228,4,1,"19",29
2705713,1229,4,0,"14",30
3184936,1233,9,3,"09",24
471256,1234,19,0,"15",1
2823840,1239,4,3,"13",30
3145497,1242,72,5,"12",1
874923,1243,11,5,"16",22
201235,1244,10,5,"21",7
3080461,1246,53,4,"20",2
647535,1248,4,5,"18",26
1098556,1249,19,0,"16",30
2216089,1250,54,1,"08",7
658472,1252,14,6,"10",30
3261274,1253,8,4,"17",9
3171516,1254,26,5,"22",10
935344,1255,7,4,"12",27
20440,1257,4,5,"07",29
1644890,1259,15,1,"09",30
2241245,1260,12,4,"11",30
1175646,1262,4,0,"15",30
2780794,1265,6,3,"10",30
27339,1268,6,6,"09",14
1142716,1269,6,6,"11",1
1704859,1270,13,0,"08",30
46340,1271,49,0,"15",4
2551907,1272,20,5,"13",19
796037,1273,8,5,"08",11
1759648,1274,11,6,"07",30
2856374,1277,7,2,"13",5
245330,1278,5,2,"09",22
1763204,1280,31,0,"14",6
3103652,1281,22,3,"10",6
1630533,1283,12,3,"07",12
1962716,1284,11,5,"11",13
1852170,1287,8,3,"07",16
2416865,1291,21,1,"08",13
2747933,1292,21,6,"13",30
396304,1293,21,0,"14",30
3077618,1294,4,0,"11",14
510280,1295,6,5,"16",19
2346976,1297,7,3,"13",10
2339119,1298,9,6,"13",20
336364,1299,9,6,"11",13
1034882,1300,7,0,"08",30
566254,1301,13,0,"15",16
545704,1302,4,4,"16",30
263184,1303,7,5,"09",30
332326,1304,5,6,"19",8
958796,1305,6,6,"15",5
1269882,1306,7,5,"10",6
1668533,1308,4,6,"11",30
2799734,1312,6,0,"12",30
1855656,1313,12,5,"16",4
1448561,1315,10,0,"16",23
648241,1317,9,1,"10",29
1779225,1318,4,5,"10",21
722928,1319,7,6,"18",17
1008360,1320,26,1,"17",30
1664214,1321,18,6,"15",6
807060,1324,5,6,"11",14
3229441,1325,9,6,"13",6
1702096,1331,12,1,"14",15
463215,1332,12,0,"13",7
1304565,1333,4,3,"15",30
1344515,1334,15,0,"18",30
2125379,1335,11,4,"20",22
917153,1336,7,4,"18",30
596220,1338,17,3,"10",6
3067161,1342,7,4,"16",19
2871086,1343,8,2,"20",14
2896211,1344,28,3,"13",14
953496,1346,13,4,"13",30
829949,1347,12,5,"08",2
273406,1352,30,3,"21",30
434628,1353,8,6,"19",30
2235878,1354,7,3,"14",10
1702162,1356,14,6,"13",21
215214,1358,7,1,"14",19
846363,1362,5,2,"07",30
3164697,1367,5,1,"02",30
2973176,1368,36,2,"15",2
851913,1369,4,0,"16",30
179410,1371,6,0,"13",30
1728699,1372,21,6,"17",6
1652731,1374,4,4,"08",30
2334973,1377,13,4,"19",7
2034042,1378,80,3,"11",9
1471800,1382,31,0,"09",7
193067,1383,4,5,"13",11
2334410,1387,24,6,"15",21
1213223,1388,14,0,"10",21
832177,1391,11,5,"12",18
1028182,1392,7,3,"13",30
1243920,1393,6,0,"12",30
1673616,1394,8,0,"14",18
2674688,1395,4,4,"11",30
3154969,1397,13,2,"13",30
2873160,1398,26,1,"12",21
633569,1399,6,3,"09",6
398048,1400,19,1,"11",30
2770748,1401,22,5,"08",19
1432666,1402,14,5,"06",25
2277161,1403,8,0,"17",7
3288985,1405,19,0,"11",18
302601,1406,17,1,"11",30
1080176,1407,7,1,"17",30
2074271,1410,19,2,"06",10
2523174,1412,23,4,"11",30
1377327,1414,14,0,"08",13
2886510,1418,12,6,"23",12
165289,1422,6,0,"17",30
2609167,1423,8,0,"12",8
265283,1425,5,4,"10",20
1246060,1426,19,5,"07",30
2155203,1427,67,3,"16",1
1927184,1428,100,2,"12",1
3031079,1432,21,3,"19",15
559488,1435,4,0,"08",30
3173206,1436,12,4,"08",5
3183558,1437,7,4,"11",6
3388271,1439,14,3,"12",30
1619324,1440,10,0,"08",30
875364,1442,7,6,"17",30
2244136,1443,17,5,"12",4
2912252,1446,5,6,"14",7
1308481,1447,24,0,"16",8
1506022,1448,5,5,"14",30
158280,1449,7,1,"16",30
3299516,1451,13,5,"16",9
447970,1456,15,2,"19",30
3069390,1457,8,1,"11",30
